frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
94,9.50,-0.00086,1.50755,-0.07148,-0.07283,1.17932,-0.01553,-0.15375,0.96363,0.07302
95,9.42,-0.00086,1.50755,-0.07148,-0.07282,1.17931,-0.01557,-0.15377,0.96350,0.07267
96,9.37,-0.00086,1.50755,-0.07148,-0.07282,1.17929,-0.01565,-0.15377,0.96336,0.07229
97,9.33,-0.00086,1.50755,-0.07148,-0.07281,1.17925,-0.01577,-0.15377,0.96324,0.07192
98,9.31,-0.00086,1.50755,-0.07148,-0.07280,1.17922,-0.01593,-0.15376,0.96313,0.07159
99,9.33,-0.00086,1.50755,-0.07148,-0.07279,1.17917,-0.01611,-0.15374,0.96304,0.07132
100,9.37,-0.00086,1.50755,-0.07148,-0.07278,1.17912,-0.01631,-0.15371,0.96299,0.07115
101,9.46,-0.00086,1.50755,-0.07148,-0.07276,1.17907,-0.01652,-0.15366,0.96299,0.07110
102,9.58,-0.00086,1.50755,-0.07148,-0.07275,1.17901,-0.01673,-0.15361,0.96305,0.07122
103,9.74,-0.00086,1.50755,-0.07148,-0.07274,1.17897,-0.01692,-0.15354,0.96318,0.07154
104,9.96,-0.00086,1.50755,-0.07148,-0.07272,1.17892,-0.01710,-0.15347,0.96339,0.07209
105,10.24,-0.00086,1.50755,-0.07148,-0.07271,1.17888,-0.01725,-0.15337,0.96371,0.07291
106,10.58,-0.00086,1.50755,-0.07148,-0.07271,1.17886,-0.01736,-0.15327,0.96416,0.07406
107,10.99,-0.00086,1.50755,-0.07148,-0.07270,1.17884,-0.01744,-0.15314,0.96475,0.07558
108,11.50,-0.00086,1.50755,-0.07148,-0.07270,1.17883,-0.01747,-0.15299,0.96552,0.07753
109,12.11,-0.00086,1.50755,-0.07148,-0.07270,1.17883,-0.01746,-0.15281,0.96650,0.07995
110,12.85,-0.00086,1.50755,-0.07148,-0.07270,1.17884,-0.01741,-0.15259,0.96774,0.08292
111,13.72,-0.00086,1.50755,-0.07148,-0.07271,1.17887,-0.01732,-0.15233,0.96928,0.08648
112,14.76,-0.00086,1.50755,-0.07148,-0.07272,1.17889,-0.01721,-0.15200,0.97119,0.09069
113,15.99,-0.00086,1.50755,-0.07148,-0.07273,1.17893,-0.01707,-0.15160,0.97353,0.09561
114,17.42,-0.00086,1.50755,-0.07148,-0.07274,1.17896,-0.01692,-0.15111,0.97640,0.10128
115,19.08,-0.00086,1.50755,-0.07148,-0.07275,1.17900,-0.01677,-0.15051,0.97988,0.10774
116,20.99,-0.00086,1.50755,-0.07148,-0.07276,1.17905,-0.01660,-0.14979,0.98410,0.11500
117,23.16,-0.00086,1.50755,-0.07148,-0.07277,1.17909,-0.01644,-0.14891,0.98917,0.12305
118,25.62,-0.00086,1.50755,-0.07148,-0.07278,1.17913,-0.01626,-0.14787,0.99523,0.13187
119,28.35,-0.00086,1.50755,-0.07148,-0.07279,1.17918,-0.01607,-0.14663,1.00242,0.14137
120,31.38,-0.00086,1.50755,-0.07148,-0.07281,1.17923,-0.01585,-0.14517,1.01088,0.15147
121,34.68,-0.00086,1.50755,-0.07148,-0.07282,1.17930,-0.01559,-0.14349,1.02073,0.16200
122,38.24,-0.00086,1.50755,-0.07148,-0.07284,1.17939,-0.01525,-0.14157,1.03206,0.17278
123,42.05,-0.00086,1.50755,-0.07148,-0.07287,1.17950,-0.01481,-0.13941,1.04493,0.18360
124,46.08,-0.00086,1.50755,-0.07148,-0.07291,1.17965,-0.01423,-0.13701,1.05936,0.19420
125,50.27,-0.00086,1.50755,-0.07148,-0.07296,1.17985,-0.01347,-0.13439,1.07529,0.20432
126,54.59,-0.00086,1.50755,-0.07148,-0.07302,1.18010,-0.01250,-0.13157,1.09259,0.21371
127,58.99,-0.00086,1.50755,-0.07148,-0.07310,1.18043,-0.01128,-0.12860,1.11108,0.22214
128,63.41,-0.00086,1.50755,-0.07148,-0.07319,1.18084,-0.00977,-0.12551,1.13050,0.22943
129,67.79,-0.00086,1.50755,-0.07148,-0.07331,1.18136,-0.00793,-0.12237,1.15055,0.23546
130,72.07,-0.00086,1.50755,-0.07148,-0.07344,1.18199,-0.00573,-0.11922,1.17089,0.24018
131,76.20,-0.00086,1.50755,-0.07148,-0.07360,1.18275,-0.00316,-0.11612,1.19119,0.24361
132,80.12,-0.00086,1.50755,-0.07148,-0.07377,1.18366,-0.00020,-0.11313,1.21112,0.24587
133,83.79,-0.00086,1.50755,-0.07148,-0.07396,1.18472,0.00315,-0.11028,1.23038,0.24711
134,87.16,-0.00086,1.50755,-0.07148,-0.07417,1.18597,0.00688,-0.10761,1.24873,0.24754
135,90.20,-0.00086,1.50755,-0.07148,-0.07439,1.18739,0.01098,-0.10516,1.26600,0.24740
136,92.89,-0.00086,1.50755,-0.07148,-0.07463,1.18901,0.01541,-0.10293,1.28206,0.24691
137,95.23,-0.00086,1.50755,-0.07148,-0.07486,1.19082,0.02013,-0.10092,1.29687,0.24630
138,97.21,-0.00086,1.50755,-0.07148,-0.07510,1.19282,0.02508,-0.09914,1.31044,0.24574
139,98.86,-0.00086,1.50755,-0.07148,-0.07534,1.19500,0.03021,-0.09757,1.32282,0.24536
140,100.20,-0.00086,1.50755,-0.07148,-0.07556,1.19735,0.03545,-0.09619,1.33412,0.24522
141,101.28,-0.00086,1.50755,-0.07148,-0.07578,1.19984,0.04074,-0.09496,1.34449,0.24532
142,102.15,-0.00086,1.50755,-0.07148,-0.07597,1.20245,0.04600,-0.09386,1.35408,0.24560
143,102.87,-0.00086,1.50755,-0.07148,-0.07616,1.20515,0.05118,-0.09285,1.36308,0.24595
144,103.53,-0.00086,1.50755,-0.07148,-0.07632,1.20789,0.05621,-0.09188,1.37169,0.24618
145,104.21,-0.00086,1.50755,-0.07148,-0.07646,1.21065,0.06106,-0.09090,1.38011,0.24610
146,104.97,-0.00086,1.50755,-0.07148,-0.07658,1.21339,0.06566,-0.08987,1.38852,0.24546
147,105.92,-0.00086,1.50755,-0.07148,-0.07669,1.21608,0.07001,-0.08875,1.39707,0.24400
148,107.11,-0.00086,1.50755,-0.07148,-0.07678,1.21868,0.07407,-0.08750,1.40590,0.24145
149,108.62,-0.00086,1.50755,-0.07148,-0.07685,1.22118,0.07783,-0.08610,1.41506,0.23757
150,110.49,-0.00086,1.50755,-0.07148,-0.07690,1.22355,0.08129,-0.08455,1.42453,0.23211
151,112.75,-0.00086,1.50755,-0.07148,-0.07695,1.22579,0.08446,-0.08284,1.43422,0.22491
152,115.40,-0.00086,1.50755,-0.07148,-0.07699,1.22787,0.08734,-0.08103,1.44392,0.21585
153,118.41,-0.00086,1.50755,-0.07148,-0.07701,1.22981,0.08995,-0.07916,1.45337,0.20494
154,121.74,-0.00086,1.50755,-0.07148,-0.07703,1.23159,0.09230,-0.07731,1.46225,0.19231
155,125.31,-0.00086,1.50755,-0.07148,-0.07705,1.23323,0.09443,-0.07555,1.47022,0.17825
156,128.00,-0.00086,1.50755,-0.07148,-0.07706,1.23473,0.09634,-0.07431,1.47583,0.16738
157,128.00,-0.00086,1.50755,-0.07148,-0.07706,1.23611,0.09807,-0.07409,1.47772,0.16732
158,128.00,-0.00086,1.50755,-0.07148,-0.07707,1.23738,0.09963,-0.07389,1.47944,0.16726
159,128.00,-0.00086,1.50755,-0.07148,-0.07707,1.23854,0.10104,-0.07371,1.48101,0.16719
160,128.00,-0.00086,1.50755,-0.07148,-0.07707,1.23962,0.10234,-0.07354,1.48246,0.16712
161,128.00,-0.00086,1.50755,-0.07148,-0.07707,1.24062,0.10353,-0.07339,1.48379,0.16704
162,128.00,-0.00086,1.50755,-0.07148,-0.07707,1.24156,0.10464,-0.07324,1.48503,0.16697
163,128.00,-0.00086,1.50755,-0.07148,-0.07706,1.24244,0.10567,-0.07310,1.48620,0.16689
164,128.00,-0.00086,1.50755,-0.07148,-0.07706,1.24328,0.10664,-0.07297,1.48729,0.16681
165,128.00,-0.00086,1.50755,-0.07148,-0.07706,1.24408,0.10755,-0.07285,1.48833,0.16674
166,128.00,-0.00086,1.50755,-0.07148,-0.07705,1.24484,0.10842,-0.07273,1.48932,0.16666
167,128.00,-0.00086,1.50755,-0.07148,-0.07705,1.24557,0.10924,-0.07262,1.49025,0.16658
168,128.00,-0.00086,1.50755,-0.07148,-0.07704,1.24626,0.11002,-0.07251,1.49115,0.16651
169,128.00,-0.00086,1.50755,-0.07148,-0.07704,1.24692,0.11076,-0.07241,1.49199,0.16643
170,128.00,-0.00086,1.50755,-0.07148,-0.07703,1.24755,0.11146,-0.07232,1.49280,0.16636
171,128.00,-0.00086,1.50755,-0.07148,-0.07703,1.24815,0.11211,-0.07223,1.49355,0.16628
172,124.75,-0.00086,1.50755,-0.07148,-0.07702,1.24870,0.11272,-0.07328,1.49100,0.17962
173,120.44,-0.00086,1.50755,-0.07148,-0.07702,1.24922,0.11328,-0.07492,1.48628,0.19698
174,116.28,-0.00086,1.50755,-0.07148,-0.07701,1.24969,0.11379,-0.07676,1.48055,0.21336
175,112.38,-0.00086,1.50755,-0.07148,-0.07701,1.25011,0.11424,-0.07868,1.47417,0.22826
176,108.83,-0.00086,1.50755,-0.07148,-0.07700,1.25048,0.11463,-0.08059,1.46754,0.24138
177,105.70,-0.00086,1.50755,-0.07148,-0.07700,1.25078,0.11496,-0.08240,1.46106,0.25256
178,103.04,-0.00086,1.50755,-0.07148,-0.07699,1.25102,0.11522,-0.08403,1.45507,0.26176
179,100.86,-0.00086,1.50755,-0.07148,-0.07699,1.25119,0.11539,-0.08543,1.44982,0.26907
180,99.16,-0.00086,1.50755,-0.07148,-0.07699,1.25127,0.11548,-0.08656,1.44545,0.27463
181,97.90,-0.00086,1.50755,-0.07148,-0.07699,1.25126,0.11547,-0.08743,1.44199,0.27865
182,97.04,-0.00086,1.50755,-0.07148,-0.07699,1.25115,0.11535,-0.08806,1.43937,0.28134
183,96.51,-0.00086,1.50755,-0.07148,-0.07700,1.25093,0.11512,-0.08847,1.43747,0.28295
184,96.24,-0.00086,1.50755,-0.07148,-0.07700,1.25059,0.11475,-0.08873,1.43609,0.28371
185,96.16,-0.00086,1.50755,-0.07148,-0.07701,1.25012,0.11425,-0.08888,1.43499,0.28388
186,96.19,-0.00086,1.50755,-0.07148,-0.07701,1.24951,0.11359,-0.08897,1.43396,0.28368
187,96.25,-0.00086,1.50755,-0.07148,-0.07702,1.24876,0.11278,-0.08906,1.43277,0.28334
188,96.29,-0.00086,1.50755,-0.07148,-0.07703,1.24786,0.11179,-0.08921,1.43119,0.28307
189,96.23,-0.00086,1.50755,-0.07148,-0.07704,1.24680,0.11062,-0.08945,1.42906,0.28303
190,96.03,-0.00086,1.50755,-0.07148,-0.07705,1.24559,0.10927,-0.08982,1.42620,0.28336
191,95.65,-0.00086,1.50755,-0.07148,-0.07706,1.24422,0.10772,-0.09036,1.42249,0.28416
192,95.07,-0.00086,1.50755,-0.07148,-0.07706,1.24271,0.10598,-0.09107,1.41781,0.28548
193,94.25,-0.00086,1.50755,-0.07148,-0.07707,1.24104,0.10403,-0.09198,1.41209,0.28732
194,93.21,-0.00086,1.50755,-0.07148,-0.07707,1.23925,0.10190,-0.09309,1.40526,0.28962
195,91.93,-0.00086,1.50755,-0.07148,-0.07707,1.23733,0.09957,-0.09441,1.39729,0.29233
196,90.43,-0.00086,1.50755,-0.07148,-0.07706,1.23531,0.09706,-0.09593,1.38816,0.29531
197,88.72,-0.00086,1.50755,-0.07148,-0.07705,1.23320,0.09439,-0.09765,1.37788,0.29845
198,86.81,-0.00086,1.50755,-0.07148,-0.07703,1.23102,0.09156,-0.09955,1.36648,0.30159
199,84.71,-0.00086,1.50755,-0.07148,-0.07700,1.22880,0.08860,-0.10163,1.35400,0.30459
200,82.45,-0.00086,1.50755,-0.07148,-0.07696,1.22654,0.08551,-0.10386,1.34049,0.30730
201,80.03,-0.00086,1.50755,-0.07148,-0.07692,1.22428,0.08234,-0.10624,1.32603,0.30958
202,77.46,-0.00086,1.50755,-0.07148,-0.07687,1.22203,0.07909,-0.10874,1.31069,0.31131
203,74.77,-0.00086,1.50755,-0.07148,-0.07681,1.21982,0.07579,-0.11136,1.29456,0.31237
204,71.95,-0.00086,1.50755,-0.07148,-0.07674,1.21764,0.07246,-0.11406,1.27772,0.31264
205,69.01,-0.00086,1.50755,-0.07148,-0.07667,1.21552,0.06911,-0.11685,1.26027,0.31202
206,65.96,-0.00086,1.50755,-0.07148,-0.07659,1.21345,0.06577,-0.11969,1.24230,0.31043
