subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s04,0.37000,1,18.23823,7.03024,-0.02305,-1.22770,1.63000,-3.76000,4.03136,0.13527,0.06266,0.19204,0.05615,74.94134,26.50890,188.19225,12.63079,0.09542,0.07312,0.00000,0.05338,1.89630,1.56666,0.29236,0.29996
s04,0.38000,1,18.23809,7.01777,-0.00410,-1.26040,2.11000,-2.76250,4.03807,0.13545,0.06272,0.19239,0.05621,75.03891,26.53794,188.55006,12.64618,0.09799,0.07509,0.00000,0.05481,1.89630,1.56666,0.29236,0.29996
s04,0.39000,1,18.23815,7.00503,0.01915,-1.28295,2.50000,-1.74000,4.04414,0.13561,0.06278,0.19272,0.05627,75.12355,26.56406,188.88251,12.65988,0.10057,0.07706,0.00000,0.05625,1.89630,1.56666,0.29236,0.29996
s04,0.40000,1,18.23847,6.99211,0.04590,-1.29520,2.81250,-0.71750,4.04947,0.13575,0.06283,0.19302,0.05633,75.19414,26.58674,189.18504,12.67164,0.10316,0.07903,0.00000,0.05770,1.89630,1.56666,0.29236,0.29996
s04,0.41000,1,18.23907,6.97912,0.07540,-1.29730,3.03250,0.28250,4.05399,0.13586,0.06288,0.19330,0.05637,75.24973,26.60545,189.45349,12.68126,0.10574,0.08101,0.00000,0.05914,1.89630,1.56666,0.29236,0.29996
s04,0.42000,1,18.23998,6.96617,0.10655,-1.28955,3.15750,1.24250,4.05763,0.13595,0.06291,0.19354,0.05640,75.28959,26.61977,189.68417,12.68856,0.10834,0.08299,0.00000,0.06059,1.89630,1.56666,0.29236,0.29996
s04,0.43000,1,18.24120,6.95333,0.13855,-1.27245,3.20500,2.14750,4.06033,0.13601,0.06293,0.19374,0.05643,75.31320,26.62931,189.87405,12.69339,0.11093,0.08497,0.00000,0.06204,1.89630,1.56666,0.29236,0.29996
s04,0.44000,1,18.24275,6.94072,0.17065,-1.24660,3.17000,2.97250,4.06206,0.13604,0.06294,0.19391,0.05644,75.32028,26.63378,190.02078,12.69564,0.11353,0.08696,0.00000,0.06349,1.89630,1.56666,0.29236,0.29996
s04,0.45000,1,18.24461,6.92840,0.20195,-1.21300,3.05250,3.69750,4.06279,0.13605,0.06294,0.19403,0.05645,75.31084,26.63297,190.12279,12.69525,0.11613,0.08894,0.00000,0.06494,1.89630,1.56666,0.29236,0.29996
s04,0.46000,1,18.24679,6.91646,0.23170,-1.17265,2.86250,4.32500,4.06252,0.13603,0.06293,0.19411,0.05644,75.28518,26.62677,190.17936,12.69222,0.11873,0.09093,0.00000,0.06640,1.89630,1.56666,0.29236,0.29996
s04,0.47000,1,18.24925,6.90495,0.25920,-1.12650,2.60500,4.84000,4.06127,0.13597,0.06291,0.19415,0.05642,75.24389,26.61519,190.19071,12.68657,0.12133,0.09292,0.00000,0.06785,1.89630,1.56666,0.29236,0.29996
s04,0.48000,1,18.25197,6.89393,0.28380,-1.07585,2.28500,5.22500,4.05906,0.13590,0.06287,0.19414,0.05639,75.18785,26.59832,190.15797,12.67840,0.12393,0.09491,0.00000,0.06930,1.89630,1.56666,0.29236,0.29996
s04,0.49000,1,18.25492,6.88343,0.30490,-1.02200,1.91000,5.48750,4.05597,0.13579,0.06282,0.19409,0.05635,75.11827,26.57641,190.08327,12.66786,0.12653,0.09690,0.00000,0.07076,1.89630,1.56666,0.29236,0.29996
s04,0.50000,1,18.25807,6.87349,0.32200,-0.96610,1.49250,5.62500,4.05206,0.13567,0.06277,0.19400,0.05630,75.03665,26.54980,189.96965,12.65514,0.12913,0.09889,0.00000,0.07221,1.89630,1.56666,0.29236,0.29996
s04,0.51000,1,18.26136,6.86411,0.33475,-0.90950,1.04000,5.63750,4.04742,0.13552,0.06270,0.19388,0.05624,74.94477,26.51895,189.82111,12.64049,0.13173,0.10087,0.00000,0.07366,1.89630,1.56666,0.29236,0.29996
s04,0.52000,1,18.26476,6.85530,0.34280,-0.85335,0.55750,5.54500,4.04219,0.13536,0.06262,0.19373,0.05618,74.84467,26.48444,189.64248,12.62422,0.13432,0.10286,0.00000,0.07511,1.89630,1.56666,0.29236,0.29996
s04,0.53000,1,18.26822,6.84704,0.34590,-0.79860,0.05750,5.36000,4.03647,0.13518,0.06254,0.19355,0.05611,74.73859,26.44695,189.43936,12.60667,0.13692,0.10484,0.00000,0.07656,1.89630,1.56666,0.29236,0.29996
s04,0.54000,1,18.27168,6.83932,0.34395,-0.74615,-0.44750,5.09250,4.03042,0.13499,0.06245,0.19335,0.05603,74.62900,26.40726,189.21798,12.58822,0.13951,0.10682,0.00000,0.07801,1.89630,1.56666,0.29236,0.29996
s04,0.55000,1,18.27510,6.83212,0.33695,-0.69675,-0.95000,4.76250,4.02419,0.13480,0.06236,0.19314,0.05595,74.51846,26.36623,188.98513,12.56930,0.14209,0.10880,0.00000,0.07946,1.89630,1.56666,0.29236,0.29996
s04,0.56000,1,18.27842,6.82539,0.32495,-0.65090,-1.44250,4.38750,4.01793,0.13461,0.06227,0.19292,0.05587,74.40964,26.32475,188.74791,12.55033,0.14468,0.11078,0.00000,0.08090,1.89630,1.56666,0.29236,0.29996
s04,0.57000,1,18.28160,6.81910,0.30810,-0.60900,-1.91000,3.99000,4.01183,0.13443,0.06218,0.19270,0.05580,74.30523,26.28380,188.51366,12.53176,0.14726,0.11275,0.00000,0.08235,1.89630,1.56666,0.29236,0.29996
s04,0.58000,1,18.28458,6.81321,0.28675,-0.57110,-2.34250,3.60000,4.00603,0.13425,0.06209,0.19249,0.05572,74.20790,26.24436,188.28972,12.51407,0.14984,0.11472,0.00000,0.08379,1.89630,1.56666,0.29236,0.29996
s04,0.59000,1,18.28733,6.80768,0.26125,-0.53700,-2.73750,3.23250,4.00070,0.13409,0.06201,0.19230,0.05565,74.12022,26.20740,188.08326,12.49768,0.15241,0.11669,0.00000,0.08523,1.89630,1.56666,0.29236,0.29996
s04,0.60000,1,18.28981,6.80247,0.23200,-0.50645,-3.08500,2.91000,3.99599,0.13395,0.06193,0.19213,0.05559,74.04460,26.17388,187.90113,12.48304,0.15499,0.11866,0.00000,0.08666,1.89630,1.56666,0.29236,0.29996
