time,r_shoulder_elev,r_elbow_flex,rep,phase,fatigue_level,target_elbow_deg,flexion_duration_s,extension_duration_s,perturbation_deg,elbow_velocity_deg_s,elbow_acceleration_deg_s2,elbow_jerk_deg_s3
121.3,20.0,68.98491201111683,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.6924530315887917,-55.090111383181295,1767.403900527853,-4327.390408139564
121.31,20.0,68.62341509278485,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.3731169256713688,-30.37115998563209,281.9005926163598,-106510.6512259586
121.32,20.0,68.37748881140419,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.06390488799528335,-49.4520995308541,-362.8091239913189,-26436.79579634828
121.33,20.0,67.63437310216777,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.005643642201175414,-37.62734246545847,-246.83532331060576,-72795.42310115338
121.34,20.0,67.62494196209502,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.6827637458753428,-54.388805997066214,-1818.7175860143866,-20149.55145403796
121.35,20.0,66.54659698222645,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2924564146902889,-74.0016941857462,-649.8263523913649,83291.86962091482
121.36,20.0,66.1449080783801,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.58008050022797,-67.38533304489351,-152.88019359608995,63592.597855569365
121.37,20.0,65.19889032132858,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.32443941856658753,-77.059298057668,622.0256047200223,3427.4407893724047
121.38,20.0,64.60372211722674,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.4204994291181099,-54.94482095049307,-84.33137780864186,-87158.46246661751
121.39,20.0,64.09999390231872,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.6086384277448197,-78.74592561384084,-1121.143644612328,8984.985669098221
121.4,20.0,63.02880360494992,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.22974150718121195,-77.36769384273963,95.36833557332258,-4224.594086289278
121.41,20.0,62.55264002546392,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.4460844353405089,-76.83855890237439,-1205.6355263381136,-41072.7091750509
121.42,20.0,61.49203242690243,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.07798334442432889,-101.4804043695019,-726.0858479276955,123261.17192949937
121.43,20.0,60.523031938073885,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.19872376759903618,-91.3602758609283,1259.5879122518738,13569.449633263452
121.44,20.0,59.66482690968387,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.365061582454297,-76.28864612446442,-454.6968552624264,-93350.19948496015
121.45,20.0,58.997259015584596,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.34140126190021974,-100.45421296617683,-607.4160774473291,189602.04859907035
121.46,20.0,57.65574265036033,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.9925409517343612,-88.436967673411,3337.344116718981,108572.56495663845
121.47,20.0,57.228519662116376,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.7304509505942866,-33.707330631797205,1564.0352216854403,-215276.3484951707
121.48,20.0,56.98159603772439,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.2893369263027792,-57.1562632397022,-968.1828531844338,52015.06763128893
121.49,20.0,56.08539439732233,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.49898732295791665,-53.07098769548588,2604.336574311219,99387.19252733907
121.5,20.0,55.92017628381467,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.020649026976759972,-5.069531753477818,1019.5609973623476,-256738.89704524822
121.51,20.0,55.984003762252776,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.7674246004621865,-32.67976774823893,-2530.4413665937454,-153818.91686548333
121.52,20.0,55.26658092884989,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.7308347913087081,-55.678359085352724,-2056.817339947319,665.4075618968136
121.53,20.0,54.87043658054572,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,1.0132006781502683,-73.81611454718531,-2517.133215355809,118747.55742838606
121.54,20.0,53.790258637906184,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.6090035457538747,-106.0210233924689,318.1338086204022,227446.85584344284
121.55,20.0,52.75001611269634,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.242006951002341,-67.45343837477726,2031.8039015130473,-102920.24419309164
121.56,20.0,52.44118987041064,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.6034875838339697,-65.38494536220796,-1740.2710752414307,-199274.17701408066
121.57,20.0,51.442317205452184,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2717799408319459,-102.25885987960588,-1953.679638768566,116877.53795216604
121.58,20.0,50.39601267281852,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.1107027446805811,-104.45853813757928,597.2796838018901,203142.76452878842
121.59,20.0,49.3531464427006,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.4932900496314167,-90.31326620356808,2109.1756518072025,44544.82069890986
121.6,20.0,48.58974734874716,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.6001512145255916,-62.27502510143523,1488.1760977800873,-91911.86905944537
121.61,20.0,48.107645940671894,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.42965199242825775,-60.54974424796633,270.938270618295,-73660.82773223947
121.62,20.0,47.37875246378783,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.5100765710205846,-56.85625968906933,14.959543135297793,-54192.76254948446
