subj,time,RSh_x,RSh_y,RSh_z,REl_x,REl_y,REl_z,RWr_x,RWr_y,RWr_z,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand
s09,0.92,-0.02334099897614029,1.2679073437621544,-0.11610695196797864,-0.13287216002478278,1.0317296032860854,-0.13294167280934238,-0.22939222573708545,0.8234043195424178,-0.1290753324033158,4.61675,0.16307,0.05574,0.27398,0.06702,92.92487,23.00629,266.63917,14.91053,0.37738,0.27387,0.0,0.20295
s09,0.93,-0.023292487032215505,1.267858274164617,-0.11672268656968789,-0.1328561634627001,1.0318096123194973,-0.13323211136932453,-0.22939709619591875,0.8233818628570525,-0.12887770128905102,4.61855,0.16302,0.05565,0.27395,0.06698,92.93611,22.97881,266.79683,14.90722,0.38133,0.27673,0.0,0.20507
s09,0.94,-0.023243975088290722,1.2678092045670797,-0.11733842117139713,-0.13284016690061745,1.0318896213529092,-0.13352254992930665,-0.22940196665475204,0.8233594061716873,-0.12868007017478625,4.62156,0.163,0.05557,0.27401,0.06695,92.96293,22.95422,267.03854,14.90633,0.38529,0.2796,0.0,0.20719
s09,0.95,-0.02304898942488836,1.2677398400051212,-0.11764875641777661,-0.13280819499799482,1.0320087543821987,-0.1336190241937612,-0.22927092897638993,0.8233370326122882,-0.1283846733298461,4.62578,0.16301,0.05551,0.27416,0.06693,93.00575,22.93302,267.36412,14.90798,0.38924,0.28246,0.0,0.20932
s09,0.96,-0.022854003761485994,1.2676704754431625,-0.1179590916641561,-0.13277622309537218,1.0321278874114883,-0.1337154984582158,-0.2291398912980278,0.8233146590528889,-0.12808927648490595,4.6312,0.16305,0.05545,0.2744,0.06693,93.06466,22.91563,267.77199,14.91228,0.39321,0.28533,0.0,0.21145
s09,0.97,-0.02257113517066991,1.2676257823254182,-0.11799542095375742,-0.1327457707119471,1.0322758768427174,-0.133660292913725,-0.22891414207829078,0.823310942506144,-0.12776331566605337,4.63779,0.16313,0.0554,0.27474,0.06694,93.13941,22.9024,268.25911,14.91925,0.39718,0.28821,0.0,0.21358
s09,0.98,-0.02228826657985383,1.2675810892076738,-0.11803175024335874,-0.13271531832852201,1.0324238662739464,-0.13360508736923418,-0.22868839285855375,0.8233072259593991,-0.12743735484720076,4.6455,0.16324,0.05536,0.27517,0.06696,93.22938,22.89358,268.821,14.92887,0.40116,0.29109,0.0,0.21572
s09,0.99,-0.022018214773984683,1.2676086145203889,-0.11793663453866789,-0.13270126352253026,1.032540701284967,-0.1335926999622385,-0.22850226127157575,0.8233310739650447,-0.1272075207918144,4.65423,0.16339,0.05534,0.27568,0.067,93.33359,22.88936,269.45166,14.94105,0.40515,0.29398,0.0,0.21786
s09,1.0,-0.021748162968115534,1.267636139833104,-0.11784151883397703,-0.13268720871653847,1.0326575362959878,-0.1335803125552428,-0.22831612968459772,0.8233549219706903,-0.12697768673642804,4.66389,0.16356,0.05533,0.27628,0.06705,93.45072,22.88982,270.14375,14.95566,0.40915,0.29688,0.0,0.22001
s09,1.01,-0.021557581808506407,1.2677175022982765,-0.11776716685855082,-0.13269869048407096,1.0326899623415926,-0.1337569456744003,-0.22828117914686724,0.8234202151949752,-0.12695834823122742,4.67436,0.16376,0.05533,0.27695,0.06711,93.57912,22.89495,270.88857,14.9725,0.41317,0.29979,0.0,0.22217
s09,1.02,-0.021367000648897284,1.267798864763449,-0.11769281488312461,-0.13271017225160345,1.0327223883871974,-0.1339335787935578,-0.22824622860913674,0.82348550841926,-0.12693900972602679,4.68549,0.16399,0.05535,0.27768,0.06719,93.71688,22.90465,271.67627,14.99133,0.4172,0.30271,0.0,0.22433
s09,1.03,-0.02124695245017473,1.2678884686360083,-0.11772202433873122,-0.13273228334129644,1.0326891383548433,-0.13426549166250462,-0.22836171653193507,0.8236346357059816,-0.1271517306029802,4.69712,0.16423,0.05537,0.27846,0.06728,93.86179,22.91875,272.49595,15.01187,0.42124,0.30563,0.0,0.22651
s09,1.04,-0.021126904251452173,1.2679780725085679,-0.11775123379433784,-0.13275439443098946,1.0326558883224892,-0.13459740453145147,-0.2284772044547334,0.8237837629927032,-0.1273644514799336,4.70908,0.1645,0.05541,0.27929,0.06737,94.01149,22.93698,273.33587,15.03377,0.4253,0.30858,0.0,0.22869
s09,1.05,-0.02104947311304892,1.2680541939380592,-0.11784887648698245,-0.13275380287546115,1.0326251167400704,-0.1349293343008719,-0.22865349810797456,0.8240550026650268,-0.12777488036928958,4.72119,0.16477,0.05547,0.28015,0.06748,94.16312,22.96082,274.18211,15.05709,0.42938,0.31153,0.0,0.23088
s09,1.06,-0.020972041974645667,1.2681303153675507,-0.11794651917962706,-0.13275321131993284,1.0325943451576514,-0.13526126407029235,-0.22882979176121573,0.8243262423373505,-0.12818530925864552,4.73326,0.16506,0.05553,0.28103,0.06759,94.31462,22.98632,275.02496,15.08066,0.43347,0.31449,0.0,0.23308
s09,1.07,-0.020944177868489053,1.2682039522623318,-0.11800350657354182,-0.13272514673863275,1.032604781533526,-0.13545467131826744,-0.22896223167373964,0.8246771378816568,-0.12871766922908343,4.74508,0.16535,0.05561,0.28191,0.06771,94.46208,23.01989,275.84543,15.10574,0.43758,0.31747,0.0,0.23529
s09,1.08,-0.020916313762332436,1.2682775891571132,-0.11806049396745658,-0.13269708215733267,1.0326152179094004,-0.13564807856624256,-0.2290946715862635,0.825028033425963,-0.12925002919952133,4.75648,0.16563,0.05569,0.28278,0.06783,94.60464,23.05078,276.63967,15.12936,0.44171,0.32046,0.0,0.23751
s09,1.09,-0.020967140063251233,1.2683683776016135,-0.11802225118090062,-0.1326875127896046,1.032643234930263,-0.13564854554664427,-0.2291319779086179,0.825347816620573,-0.1297337320645925,4.76725,0.16591,0.05577,0.28364,0.06794,94.73872,23.0835,277.39057,15.15236,0.44585,0.32346,0.0,0.23973
s09,1.1,-0.021017966364170033,1.2684591660461138,-0.11798400839434466,-0.13267794342187658,1.0326712519511259,-0.13564901252704598,-0.22916928423097224,0.8256675998151829,-0.13021743492966367,4.77721,0.16618,0.05586,0.28445,0.06806,94.86176,23.11744,278.08603,15.17433,0.45,0.32647,0.0,0.24197
s09,1.11,-0.021150580280231347,1.2685642569725426,-0.11794999031808462,-0.13272319454077558,1.0326825280814105,-0.13548305378174488,-0.22913952792100908,0.8258780852072274,-0.1304673731997158,4.7862,0.16643,0.05595,0.28522,0.06817,94.9713,23.15195,278.71465,15.19484,0.45417,0.32949,0.0,0.24421
s09,1.12,-0.021283194196292664,1.2686693478989715,-0.1179159722418246,-0.13276844565967455,1.032693804211695,-0.1353170950364438,-0.22910977161104593,0.826088570599272,-0.13071731146976795,4.79405,0.16666,0.05604,0.28593,0.06828,95.06504,23.18644,279.26576,15.21356,0.45835,0.33253,0.0,0.24646
s09,1.13,-0.021444825026167423,1.2687635049994224,-0.11802284570381416,-0.13284528784037805,1.0326872681057666,-0.13506968100641148,-0.22907656335673077,0.8261514433876697,-0.13069930689995818,4.8006,0.16687,0.05613,0.28656,0.06837,95.14091,23.21985,279.73013,15.22995,0.46254,0.33557,0.0,0.24871
s09,1.14,-0.02160645585604219,1.2688576620998735,-0.11812971916580373,-0.13292213002108158,1.0326807319998381,-0.13482226697637917,-0.2290433551024156,0.8262143161760674,-0.1306813023301484,4.80574,0.16704,0.05623,0.2871,0.06846,95.19575,23.2585,280.09298,15.24534,0.46674,0.33861,0.0,0.25097
