time,r_humerus_u_noisy,r_humerus_v_noisy,r_humerus_depth,r_ulna_radius_hand_u_noisy,r_ulna_radius_hand_v_noisy,r_ulna_radius_hand_depth,load_2kg_u_noisy,load_2kg_v_noisy,load_2kg_depth,center_of_mass_u_noisy,center_of_mass_v_noisy,center_of_mass_depth,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
5.63,514.6218706216112,4686.080717208446,0.17,552.3192535731969,2804.9572149518517,0.1577,720.729259224731,1349.5238726469836,0.2397,620.3242117767498,2706.176722201214,0.19232459,0.01247029,0.0112564366666666,0.0121457233333333,6.49567885,6.177144843333333,8.11420443,0.82897462,0.4687256,0.0,-7.57e-06
5.64,517.9533103045105,4684.739754010109,0.17,550.0277752706205,2800.7867693423277,0.1577,723.14004305729,1351.4357794265864,0.2397,621.8863232696815,2705.7313530383744,0.19232459,0.01247034,0.01125643,0.0121457566666666,6.49571179,6.177141333333334,8.114228403333334,0.82901094,0.46874402,0.0,-7.28e-06
5.65,517.6317665210724,4685.897779867263,0.17,553.0608423593017,2804.11929215492,0.1577,722.1968901546254,1347.1311986509243,0.2397,620.998146102981,2705.6164029508127,0.19232459,0.0124703825,0.0112564199999999,0.0121457866666666,6.4957400525,6.17713873,8.114249153333333,0.82904223,0.46875999,0.0,-5.6e-06
5.66,515.8336445616266,4681.5356394713945,0.17,553.4213198560241,2805.8702870098377,0.1577,723.624148698557,1344.3415991373672,0.2397,619.8176678642674,2706.385052949943,0.19232459,0.0124704125,0.0112564199999999,0.0121458033333333,6.4957566600000005,6.17713788,8.114261643333334,0.82906085,0.46876968,0.0,-2.2e-06
5.67,514.8471088871412,4682.8148737764495,0.17,552.3692449791039,2804.3337315375134,0.1577,721.0948966981513,1350.0713519262606,0.2397,618.8147309169153,2703.7387161236593,0.19232459,0.0124704075,0.0112564199999999,0.0121458033333333,6.49575351,6.177139726666667,8.114260006666667,0.82905787,0.46876857,0.0,3.11e-06
5.68,517.2497970181302,4681.072730083909,0.17,553.3942404536441,2803.382058349412,0.1577,722.5437855237475,1345.626391011584,0.2397,619.8322368175678,2705.2418126640196,0.19232459,0.0124703624999999,0.0112564233333333,0.0121457733333333,6.49572223,6.177145163333333,8.114238156666667,0.82902407,0.468752,0.0,1.029e-05
5.69,516.5288883514428,4682.147264640966,0.17,553.7448487685925,2802.1970875398197,0.1577,720.9720298811256,1351.8601136740585,0.23969999,619.8076699533284,2703.9831927831187,0.19232458,0.012470265,0.01125644,0.0121457033333333,6.4956555300000005,6.177154876666666,8.114190736666666,0.82895137,0.46871584,0.0,1.893e-05
5.7,513.2566866576404,4686.061857907841,0.17,553.4249986577863,2805.194974803171,0.1577,723.254495799507,1348.140398912268,0.23969999,619.7685033273434,2704.244596466821,0.19232458,0.01247011,0.01125646,0.01214559,6.495548935,6.177169116666666,8.114114406666667,0.82883477,0.46865749,0.0,2.822e-05
5.71,516.0169806645017,4686.532628214669,0.17,550.5084367465093,2801.1796057830975,0.15769999,719.61495435712,1347.160213471529,0.23969999,620.3165569495003,2707.615725732269,0.19232458,0.0124698925,0.0112564866666666,0.0121454433333333,6.4954028275,6.177187483333334,8.11400927,0.82867455,0.46857701,0.0,3.685e-05
5.72,516.6770128006193,4681.261380469215,0.17,552.4051208677856,2804.019029629384,0.15769999,723.1829097600636,1354.6377272342945,0.23969999,617.3456384649991,2706.060067711054,0.19232458,0.0124696275,0.0112565199999999,0.0121452533333333,6.495224565,6.177208663333334,8.113880456666665,0.82847865,0.46847827,0.0,4.304e-05
5.73,514.353551603495,4682.641091722189,0.17,553.7313354753436,2803.5844774733,0.15769999,722.3223426497613,1349.1997870478058,0.23969999,618.1091876572964,2704.523812180692,0.19232458,0.0124693375,0.0112565533333333,0.0121450533333333,6.4950303875,6.177230280000001,8.113739506666667,0.82826475,0.46837006,0.0,4.463e-05
5.74,516.5326279621454,4683.405255714776,0.17,556.0689208737152,2805.784668059613,0.15769999,723.2415811974383,1348.8164753564697,0.23969999,621.8277678254257,2705.7069631440972,0.19232458,0.012469065,0.0112565933333333,0.0121448633333333,6.494846605,6.1772488,8.113605253333333,0.82806164,0.46826679,0.0,3.926e-05
5.75,513.243296205955,4684.728858342443,0.17,552.3673469776455,2802.3677935368346,0.1577,719.574719172435,1350.7325878030815,0.23969999,615.6631349362166,2705.5154199859894,0.19232458,0.0124688525,0.01125662,0.0121447166666666,6.4947096425,6.17725962,8.1135039,0.82790927,0.46818853,0.0,2.476e-05
5.76,518.8253133764949,4680.038026531751,0.17,554.0122701282266,2802.537819435186,0.1577,724.1880295956809,1350.8674739274911,0.2397,622.5575990119071,2706.11272552508,0.19232459,0.0124687775,0.0112566266666666,0.0121446633333333,6.4946643525,6.177257383333334,8.11346784,0.82785696,0.46816012,0.0,-5.1e-07
5.77,518.6488411465895,4680.351646895767,0.17,554.6659859475203,2801.0494063695082,0.15770001,722.2801077535032,1351.51465765796,0.23970001,619.0450072593356,2702.993132354362,0.19232459,0.0124689075,0.01125661,0.0121447533333333,6.494779175000001,6.177236413333333,8.113532176666666,0.82795913,0.46820909,0.0,-3.704e-05
5.78,515.6479065078646,4684.536899346569,0.17,552.515361413108,2804.407704659972,0.15770001,723.3105639475082,1346.5703659547487,0.23970002,623.5009821448283,2703.8246343014307,0.1923246,0.0124693175,0.0112565566666666,0.0121450433333333,6.4950675275,6.177192116666666,8.113732963333332,0.8282683,0.46836213,0.0,-8.356e-05
5.79,516.8798498521487,4679.659569920988,0.17,555.2041442321556,2802.6853494765246,0.15770002,719.1347813276695,1350.3082937910779,0.23970004,622.6134723639882,2703.1240510035395,0.19232461,0.0124700625,0.0112564633333333,0.0121455666666666,6.4955811500000005,6.17712138,8.114096813333333,0.82882525,0.46864017,0.0,-0.00013656
