time,r_humerus_u,r_humerus_v,r_humerus_depth,r_ulna_radius_hand_u,r_ulna_radius_hand_v,r_ulna_radius_hand_depth,load_2kg_u,load_2kg_v,load_2kg_depth,center_of_mass_u,center_of_mass_v,center_of_mass_depth
28.35,516.1529411764706,4683.557647058824,0.17,552.9104375396322,2803.5332910589723,0.1577,722.8784480600751,1349.2365456821026,0.2397,620.1634102014724,2706.007341026959,0.19232459
28.36,516.1529411764706,4683.557647058824,0.17,552.9104375396322,2803.5332910589723,0.1577,722.8783979974969,1349.2365456821026,0.2397,620.1634102014724,2706.007341026959,0.19232459
28.37,516.1529411764706,4683.557647058824,0.17,552.9104375396322,2803.5332910589723,0.1577,722.8783979974969,1349.2365456821026,0.2397,620.1634102014724,2706.007341026959,0.19232459
28.38,516.1529411764706,4683.557647058824,0.17,552.9104375396322,2803.5332910589723,0.1577,722.8783979974969,1349.2365456821026,0.2397,620.1634102014724,2706.007341026959,0.19232459
28.39,516.1529411764706,4683.557647058824,0.17,552.9104375396322,2803.5332910589723,0.1577,722.8784480600751,1349.2365456821026,0.2397,620.1634102014724,2706.007341026959,0.19232459
28.4,516.1529411764706,4683.557647058824,0.17,552.9105136334813,2803.5332910589723,0.1577,722.8784981226534,1349.2365456821026,0.2397,620.1634725959899,2706.007341026959,0.19232459
28.41,516.1529411764706,4683.557647058824,0.17,552.9105136334813,2803.5332910589723,0.1577,722.8785481852316,1349.2365456821026,0.2397,620.1634725959899,2706.007341026959,0.19232459
28.42,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785481852316,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.43,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.44,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.45,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8786483103879,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.46,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8786483103879,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.47,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8786483103879,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.48,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8786483103879,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.49,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.5,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.51,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.52,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.53,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.54,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.55,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.56,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.57,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.58,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.59,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.6,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.61,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.62,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.63,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.64,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.65,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.66,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.67,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.68,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.69,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.7,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.71,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.72,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.73,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.74,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.75,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.76,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.77,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.78,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.79,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.8,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.81,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.82,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.83,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.84,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.85,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
28.86,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
