time,r_humerus_X,r_humerus_Y,r_humerus_Z,r_ulna_radius_hand_X,r_ulna_radius_hand_Y,r_ulna_radius_hand_Z,load_2kg_X,load_2kg_Y,load_2kg_Z,center_of_mass_X,center_of_mass_Y,center_of_mass_Z,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
0.28,-0.017545,0.612504,0.17,0.00073316,0.32153112,0.15708222,0.03716978,0.19990286,0.23859526,0.0079184,0.37696539,0.19173977,0.0196637925,0.010116686666666666,0.01627708333333333,11.3751254125,6.123235673333333,11.160852836666665,3.2348223,1.98544635,0.0,3.85526735
0.29,-0.017545,0.612504,0.17,0.00192808,0.32161568,0.15701998,0.03918666,0.20020404,0.23848439,0.00900513,0.37710099,0.19168101,0.020126242500000002,0.01011357,0.016491233333333334,11.63457667,6.154210586666667,11.306089866666667,3.29952606,2.04802646,0.0,4.23423182
0.3,-0.017545,0.612504,0.17,0.00318669,0.32171334,0.1569541,0.04130991,0.20053588,0.23836713,0.01014937,0.37725168,0.19161885,0.0206048725,0.010110513333333333,0.01670616,11.9002912675,6.18568921,11.451310636666667,3.36374189,2.11204975,0.0,4.63360002
0.31,-0.017545,0.612504,0.17,0.00450906,0.32182547,0.15688454,0.04353945,0.2009007,0.23824341,0.0113511,0.37741869,0.19155325,0.0212811875,0.010226496666666668,0.017033343333333336,12.2440266375,6.27731763,11.687458623333333,3.42751024,2.17755257,0.0,5.05344621
0.32,-0.017545,0.612504,0.17,0.0058951,0.3219535,0.15681125,0.04587498,0.2013009,0.23811314,0.01261019,0.37760333,0.19148416,0.0217580325,0.010221826666666668,0.017217163333333334,12.512258385,6.309216163333333,11.816987623333333,3.49086497,2.24456477,0.0,5.49381036
0.33,-0.017545,0.612504,0.17,0.00734463,0.32209891,0.15673417,0.04831596,0.20173899,0.23797626,0.01392639,0.37780694,0.19141155,0.02225158,0.010217253333333334,0.017400443333333335,12.7873129075,6.341483406666666,11.945885043333334,3.55383315,2.31310937,0.0,5.95469899
0.34,-0.017545,0.612504,0.17,0.0088573,0.32226324,0.15665328,0.05086162,0.20221752,0.23783272,0.01529931,0.37803091,0.19133539,0.022804562499999997,0.010219356666666667,0.017626536666666665,13.0837991275,6.37743338,12.09885672,3.61643526,2.38320252,0.0,6.43608597
0.35,-0.017545,0.612504,0.17,0.01043265,0.32244808,0.15656853,0.05351096,0.20273915,0.23768247,0.01672844,0.37827668,0.19125565,0.02333368,0.01021508,0.01781069,13.3727516225,6.410360006666667,12.227601166666666,3.67868537,2.45485339,0.0,6.93791327
0.36,-0.017545,0.612504,0.17,0.01207008,0.32265506,0.1564799,0.05626273,0.20330657,0.23752546,0.01821317,0.3785457,0.1911723,0.0238805875,0.010210943333333333,0.017994543333333335,13.668610985,6.443521793333333,12.355859726666667,3.74059164,2.52806422,0.0,7.46009182
0.37,-0.017545,0.612504,0.17,0.01376885,0.32288588,0.15638736,0.05911548,0.20392252,0.23736168,0.01975274,0.37883947,0.19108532,0.024473959999999996,0.01021123,0.018209143333333334,13.9806964675,6.47910286,12.501428266666665,3.8021568,2.60283039,0.0,8.0025022
0.38,-0.017545,0.612504,0.17,0.0155281,0.32314222,0.15629089,0.0620675,0.20458981,0.23719111,0.02134627,0.37915952,0.19099472,0.025057832500000002,0.010207453333333333,0.01839405,14.290301310000002,6.51263392,12.629689226666668,3.86337875,2.67914048,0.0,8.56499545
