time,theta_s,theta_e,theta_s_ref,theta_e_ref,emg_biceps,emg_triceps,emg_deltoid,emg_biceps_fn,emg_triceps_fn,emg_deltoid_fn,load_kg,condition,trial_id,subject_id,emg_biceps_rms,emg_triceps_rms,emg_deltoid_rms,emg_biceps_var,emg_triceps_var,emg_deltoid_var,cci_s,cci_e,nmi
22.5,0.0,5.5e-07,0.0,0.0,0.01240375,0.011256450000000001,0.01264031,0.01247018,0.011256450000000001,0.012145643333333333,2.0,loaded_reaching,0,1,0.012403735000010381,0.011256449833333555,0.012640290000020173,2.5183181551986147e-16,4.99953266888574e-18,5.139453041456973e-16,0.9420514167304719,0.9514696675265968,0.7574084355361608
22.51,0.0,3e-07,0.0,0.0,0.01240375,0.011256446666666668,0.01264031,0.01247018,0.011256446666666668,0.012145643333333333,2.0,loaded_reaching,0,1,0.01240373500001038,0.011256449833333555,0.012640290000020173,2.5183181551986147e-16,4.99953266888574e-18,5.139453041456973e-16,0.9420514167304719,0.9514696675265968,0.7574084347028275
22.52,0.0,9e-08,0.0,0.0,0.01240375,0.011256446666666668,0.01264031,0.01247018,0.011256446666666668,0.012145643333333333,2.0,loaded_reaching,0,1,0.012403736000009935,0.011256449833333555,0.01264029150001949,2.4083181557743433e-16,4.99953266888574e-18,4.966953040014454e-16,0.9420513576003448,0.9514696273143584,0.7574083942658814
22.53,0.0,-6e-08,0.0,0.0,0.01240375,0.011256446666666668,0.01264031,0.012470182500000001,0.011256446666666668,0.012145643333333333,2.0,loaded_reaching,0,1,0.012403737500008515,0.01125644966666686,0.012640294000015982,2.0558181566411665e-16,4.360643774337676e-18,4.079453037618865e-16,0.9420512516719388,0.9514695596103093,0.7574083247128993
22.54,0.0,-1.6e-07,0.0,0.0,0.01240375,0.011256446666666668,0.01264031,0.01247018,0.011256446666666668,0.012145643333333333,2.0,loaded_reaching,0,1,0.012403739250006277,0.011256449500000163,0.012640296500011975,1.500193157662237e-16,3.666199324364821e-18,3.0669530352036475e-16,0.942051145743573,0.9514694818532395,0.7574082515720583
22.55,0.0,-2.1e-07,0.0,0.0,0.01240375,0.011256446666666668,0.01264031,0.01247018,0.011256446666666668,0.012145643333333333,2.0,loaded_reaching,0,1,0.01240374100000379,0.011256449333333461,0.012640299000007477,8.833181586657061e-17,2.91619931869251e-18,1.9294530327688017e-16,0.9420510398152471,0.9514694040961899,0.7574081782645747
22.56,0.0,-2.2e-07,0.0,0.0,0.01240375,0.011256450000000001,0.01264031,0.01247018,0.011256450000000001,0.012145643333333333,2.0,loaded_reaching,0,1,0.012403742250002367,0.01125644916666676,0.012640301000004312,5.3019315934680774e-17,2.1106437575954074e-18,1.129453030804554e-16,0.9420509535969234,0.9514693464452241,0.7574081207501923
22.57,0.0,-2e-07,0.0,0.0,0.012403745,0.011256450000000001,0.01264031,0.0124701775,0.011256450000000001,0.012145643333333333,2.0,loaded_reaching,0,1,0.012403743250001337,0.01125644916666676,0.012640302500002325,2.7519315989538425e-17,2.1106437575954074e-18,6.269530293168798e-17,0.9420508944669024,0.9514693062330339,0.7574080809466411
22.58,0.0,-1.6e-07,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403743750000994,0.01125644916666676,0.012640303500001296,1.9019316017126762e-17,2.1106437575954074e-18,3.66953028311135e-17,0.9420508550468809,0.9514692861269334,0.7574080570028591
22.59,0.0,-1.2e-07,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403744000000867,0.01125644916666676,0.01264030400000095,1.5831816030181896e-17,2.1106437575954074e-18,2.794530278098577e-17,0.9420508353368646,0.9514692760738815,0.7574080449642986
22.6,0.0,-7e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403744250000834,0.01125644916666676,0.01264030400000095,1.5019316044051074e-17,2.1106437575954074e-18,2.794530278098577e-17,0.9420508353368646,0.9514692660208263,0.7574080407764097
22.61,0.0,-3e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403744000000766,0.01125644916666676,0.0126403035000009,1.3331816031099493e-17,2.1106437575954074e-18,2.6695302831051956e-17,0.9420508550468966,0.9514692760738855,0.7574080525483129
22.62,0.0,-0.0,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.012145636666666668,2.0,loaded_reaching,0,1,0.012403743750000692,0.011256449333333413,0.01264030300000083,1.1519316018191625e-17,1.805088208378265e-18,2.4945302881203966e-17,0.9420508821352321,0.9514692935126721,0.7574080702591617
22.63,0.0,2e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.012145636666666668,2.0,loaded_reaching,0,1,0.012403743500000616,0.011256449500000062,0.012640302500000741,9.58181600532747e-18,1.443977103431994e-18,2.2695302931441806e-17,0.942050909223569,0.9514693109514588,0.7574080881366778
22.64,0.0,3e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.01240374325000053,0.011256449666666713,0.012640302000000632,7.519315992507024e-18,1.0273104430312584e-18,1.9945302982589465e-17,0.9420509363119076,0.9514693283902458,0.7574081059808615
22.65,0.0,4e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403743000000442,0.011256449833333357,0.012640301500000504,5.331815979730291e-18,5.550882271760586e-19,1.6695303033822955e-17,0.9420509634002475,0.9514693458290329,0.7574081238250456
22.66,0.0,4e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742750000349,0.011256450000000001,0.012640301000000355,3.0193159669972688e-18,2.7310455866394555e-20,1.2945303085142269e-17,0.942050990488589,0.9514693632678204,0.7574081416358971
22.67,0.0,3e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742500000252,0.011256450000000001,0.012640300500000187,5.818159543079584e-19,2.7310455866394555e-20,8.69530313654741e-18,0.9420510101986304,0.9514693733208823,0.7574081535078051
