time,base_X,base_Y,base_Z,base_Ox,base_Oy,base_Oz,r_humerus_X,r_humerus_Y,r_humerus_Z,r_humerus_Ox,r_humerus_Oy,r_humerus_Oz,r_ulna_radius_hand_X,r_ulna_radius_hand_Y,r_ulna_radius_hand_Z,r_ulna_radius_hand_Ox,r_ulna_radius_hand_Oy,r_ulna_radius_hand_Oz,load_2kg_X,load_2kg_Y,load_2kg_Z,load_2kg_Ox,load_2kg_Oy,load_2kg_Oz,center_of_mass_X,center_of_mass_Y,center_of_mass_Z,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_DELT_ant,act_DELT_post,act_PECT,act_LAT,act_BRD_hand,act_shoulder_assist,act_elbow_assist,force_TRIlong,force_TRIlat,force_TRImed,force_BIClong,force_BICshort,force_BRA,force_DELT_ant,force_DELT_post,force_PECT,force_LAT,force_BRD_hand,force_shoulder_assist,force_elbow_assist,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
38.54,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16665957,0.47083911,0.14339489,1.06141078,4.4031721,79.83744425,0.29910508,0.47527005,0.21553358,-14.58868128,-9.96615439,167.15458309,0.15210626,0.52140625,0.17930683,0.01004014,0.01014799,0.01015464,0.12107036,0.06518247,0.06073767,0.04788006,0.01030376,0.03004473,0.01168182,0.02040366,0.11922252,0.09085519,6.93616314,6.08034068,5.93252975,75.727738,26.55718329,57.48854841,41.76855148,7.62593482,11.70614883,0.84565596,4.92752372,5.96112612,2.72565582,0.06684854,0.010114256666666667,0.029409516666666666,41.175248355,6.316344523333334,20.366878376666666,8.73817523,8.48382369,0.0,79.98507128
38.55,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16665164,0.47079376,0.14339694,1.0618095,4.40237002,79.82288069,0.2990976,0.47519201,0.21553681,-14.59189511,-9.96300919,167.14016709,0.15210124,0.52136445,0.17930861,0.01004048,0.0101494,0.0101561,0.12031613,0.06472627,0.06023734,0.04752849,0.01030476,0.02983849,0.01167401,0.02028902,0.1183407,0.08993167,6.93246878,6.07675544,5.92902209,75.50276745,26.44866547,57.13143757,41.4618588,7.62667321,11.62579548,0.84509097,4.90929092,5.91703518,2.69794999,0.06639219,0.010115326666666667,0.029223913333333334,40.9980403525,6.31274877,20.238109163333334,8.67898684,8.43220586,0.0,79.97051079
38.56,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.1666404,0.4707296,0.14339985,1.06237322,4.40123512,79.80227722,0.29908698,0.4750816,0.21554139,-14.59644037,-9.95855822,167.11977289,0.15209411,0.52130532,0.17931113,0.01004087,0.01010052,0.0101025,0.1196572,0.06434439,0.05980255,0.04717378,0.01013573,0.02918211,0.01032643,0.01812179,0.11741168,0.08904111,6.92806633,6.04214505,5.89246011,75.3831938,26.38510783,56.85830473,41.15242054,7.50156932,11.37005139,0.74753826,4.39488755,5.87058399,2.67123327,0.0654814825,0.010081296666666668,0.02883054,40.755373477499994,6.287557163333333,20.00801375,8.61847662,8.37954298,0.0,79.94991162
38.57,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16662521,0.47064308,0.14340378,1.06313275,4.39970438,79.77449354,0.2990726,0.47493272,0.21554756,-14.60256702,-9.95255358,167.09227234,0.15208447,0.52122558,0.17931454,0.01004121,0.01010141,0.01010341,0.11889549,0.06386251,0.05925003,0.04679633,0.01013635,0.02894345,0.01031691,0.01778679,0.11648346,0.08798808,6.92288315,6.03639612,5.88678299,75.24245512,26.29460016,56.49418912,40.82315331,7.50202797,11.27706378,0.74684912,4.32489171,5.82417276,2.63964251,0.06494870500000001,0.01008201,0.028625376666666664,40.5890340275,6.282020753333334,19.86741502,8.5580638,8.327123,0.0,79.92213366
38.58,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16660542,0.47053069,0.14340888,1.06411842,4.39771511,79.7383972,0.29905381,0.47473931,0.21555558,-14.61052219,-9.94474804,167.05654545,0.15207188,0.52112199,0.17931896,0.01004162,0.01014973,0.01015622,0.11799612,0.06327394,0.05857228,0.04642096,0.01029113,0.02915464,0.01157913,0.01981365,0.11556774,0.08675491,6.9170466,6.05801355,5.91037021,75.05413434,26.17294106,56.02952523,40.49569215,7.61658749,11.35934834,0.83822224,4.83171038,5.77838692,2.60264727,0.0649139975,0.010115856666666666,0.028622243333333335,40.5220777525,6.295143453333334,19.823875993333335,8.49888907,8.27599597,0.0,79.88604465
38.59,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16658036,0.47038901,0.14341531,1.06535936,4.39520614,79.69288699,0.29902995,0.47449548,0.2155657,-14.62054478,-9.93489983,167.01150365,0.15205592,0.5209914,0.17932454,0.01004203,0.01015195,0.01015854,0.11724704,0.06278881,0.05799101,0.04605668,0.01029249,0.02894301,0.01157322,0.01968813,0.11465345,0.08561446,6.91057131,6.05117238,5.9036194,74.99665643,26.10561023,55.67405184,40.17791496,7.61758819,11.27689173,0.83779498,4.81625331,5.73267263,2.56843366,0.06442874750000001,0.010117506666666666,0.02843072666666667,40.3981429525,6.288454363333333,19.690798293333334,8.44177294,8.2269354,0.0,79.84054349
38.6,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16654938,0.47021477,0.14342323,1.06688295,4.39211881,79.63691039,0.29900034,0.47419559,0.21557816,-14.63286122,-9.92277603,166.95610716,0.15203615,0.52083079,0.1793314,0.01004253,0.01010499,0.01010703,0.11664631,0.06240853,0.05750722,0.0457101,0.01013871,0.02828793,0.01032672,0.01751314,0.11375574,0.08457391,6.90357194,6.01418768,5.86475053,75.06555446,26.09246675,55.42760209,39.87557007,7.50377942,11.02166014,0.74755925,4.29860098,5.68778717,2.53721725,0.0635188,0.01008485,0.02804558,40.22105607,6.260836716666667,19.46700321,8.38721823,8.18043831,0.0,79.78457774
38.61,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16651183,0.47000491,0.14343279,1.06871441,4.38839748,79.56947498,0.29896427,0.47383435,0.2155932,-14.64768261,-9.90815475,166.88937643,0.15201211,0.52063733,0.17933969,0.0100429,0.01010617,0.01010824,0.11598304,0.06195557,0.05693623,0.04536156,0.01013943,0.0280677,0.01031978,0.01720172,0.11288949,0.08341506,6.89596989,6.00507588,5.85567685,75.12103774,26.05816035,55.11035029,39.57151525,7.50430871,10.93585031,0.74705689,4.2370392,5.64447426,2.50245188,0.06301914,0.010085769999999999,0.02785623,40.131646894999996,6.252240873333332,19.337224756666664,8.33544492,8.13675382,0.0,79.71715498
38.62,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16646707,0.46975656,0.14344411,1.07087656,4.38398989,79.4896545,0.29892103,0.47340682,0.21561101,-14.66520298,-9.89082607,166.81039829,0.15198338,0.52040837,0.17934951,0.01004333,0.01014983,0.01015594,0.11519141,0.06141584,0.05626813,0.04502139,0.0102679,0.0282611,0.01142178,0.01911293,0.11206806,0.08215797,6.88797247,6.02038825,5.87269948,75.11446754,25.99474588,54.70935727,39.27477147,7.59939315,11.01120575,0.82683156,4.72491894,5.60340311,2.46473904,0.0629970775,0.010116366666666668,0.02785013,40.1358724075,6.2603534,19.295123456666666,8.28644442,8.09592943,0.0,79.63734888
38.63,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.16641445,0.46946707,0.14345733,1.07338967,4.37884719,79.39659056,0.29886986,0.47290843,0.21563182,-14.68559863,-9.8705921,166.71832769,0.15194947,0.52014147,0.17936097,0.01004377,0.01015216,0.01015837,0.11456583,0.06098817,0.05570811,0.0446992,0.01026854,0.02806961,0.01141263,0.01898632,0.11126023,0.08101799,6.87960374,6.01041828,5.86274767,75.232697,25.98483614,54.42158653,38.99370648,7.59986401,10.93659393,0.82616975,4.71101054,5.56301138,2.43053975,0.06256210749999999,0.0101181,0.027679116666666666,40.0875325525,6.250923230000001,19.176721473333334,8.240042,8.05786475,0.0,79.54430091
